aircraft_id,report_date,aircraft_model,operator,flight_phase,cruise_altitude_ft,flight_conditions,weather_conditions,component_name,component_status,anomaly_type,root_cause,maintenance_outcome,base_location,airport_code,crew_experience,contributing_factors,report_summary,health_status,alert_active,flight_hours,report_year,report_month
1122443,2013-10-01,B737-800,Air Carrier,Initial Approach,10000.0,Unknown,unknown,transponder,Malfunctioning,aircraft equipment problem less severe; deviation - altitude crossing restriction not met; deviation / discrepancy - procedural clearance; deviation / discrepancy - procedural published material / policy,Human Factors,flight crew became reoriented; flight crew returned to clearance; flight crew took evasive action,ca,sct.tracon,unknown,aircraft; human factors,a b737-800 crew flying the riivr 2 arrival set 1;900 ft in the mcp alt for the runway 25l faf; then selected vs to begin slowing to 250 kts at 10;000 ft but became distracted and forgot to re-select vnav. they descended to 8;500 ft before krain.,Warning,True,14753,2013,10
731517,2007-03-01,Navion Aircraft Corp Undifferentiated Or Other Model,Personal,Initial Approach,4000.0,Imc,unknown,unknown,Unknown,deviation / discrepancy - procedural other / unknown,Ambiguous,general none reported / taken,ar,zzz.airport,unknown,airspace structure; human factors,ryan navion h plt is issued an alt that is below the msa for the published apch and has com difficulties.,Normal,False,9201,2007,3
1222317,2014-12-01,Skyhawk 172/Cutlass 172,Other Flight School,Final Approach,3000.0,Vmc,10,unknown,Unknown,atc issue all types; deviation - track / heading all types; deviation / discrepancy - procedural clearance; deviation / discrepancy - procedural published material / policy,Human Factors,air traffic control issued new clearance,mi,1d2.airport,flight crew last 90 days 212; flight crew total 1246; flight crew type 1029,human factors; chart or publication,after departing yip a flight instructor and his instrument student were cleared direct to svm; 'cleared for the vor a approach;' as requested. after departing svm; the iaf/faf; on course for the vor a approach to 1d2; canton-plymouth-mettetal airport atc advised of a track deviation. further inquiry determined the clearance had been for the vor-a approach at yip; not the vor-a to 1d2. svm is the iaf for both procedures. the reporter did not recall if the airport name had been appended to either the clearance or his readback.,Normal,False,1246,2014,12
986942,2011-12-01,Da20-C1 Eclipse,Fbo,Landing,0.0,Vmc,unknown,nose gear,Failed,aircraft equipment problem critical,Aircraft,aircraft aircraft damaged; general evacuated,us,zzz.airport,flight crew last 90 days 122; flight crew total 2628; flight crew type 974,aircraft,a student pilot and his instructor evacuated their da-20 on the runway following the failure of the nose gear strut following landing during a planned touch and go. the student pilot reported a recently published faa special airworthiness information bulletin addressed the possibility of cracks in the strut.,Critical,True,2628,2011,12
839616,2009-06-01,Commercial Fixed Wing,Air Carrier,Descent,0.0,Imc,thunderstorm,unknown,Unknown,deviation - track / heading all types; deviation / discrepancy - procedural published material / policy; inflight event / encounter weather / turbulence,Procedure,air traffic control issued new clearance,ny,n90.tracon,unknown,procedure; weather; human factors,air carrier inbound to lga; given atc approval for weather deviations; experienced confusion reference routing after receiving vague instructions from air traffic listing examples of unclear n90 atc clearances.,Normal,False,5885,2009,6
1059680,2013-01-01,B737 Undifferentiated Or Other Model,Air Carrier,Descent,17000.0,Vmc,unknown,fms/fmc,Improperly Operated,deviation - speed all types; deviation / discrepancy - procedural published material / policy,Human Factors,flight crew overcame equipment problem; flight crew returned to clearance,ca,zla.artcc,flight crew last 90 days 98; flight crew total 7600; flight crew type 300,company policy; human factors; procedure; aircraft,a b737 flight crew suffered modest deviations while performing the seavu star to lax while utilizing new company mode control panel sops.,Normal,False,7600,2013,1
880305,2010-03-01,No Aircraft,Personal,Parked,0.0,Vmc,unknown,unknown,Unknown,no specific anomaly occurred all types,Airport,flight crew became reoriented,fl,fa83.airport,flight crew last 90 days 40; flight crew total 160,airport,private pilot reports that orlando north airpark (fa83) is inaccurately described in publications as being a north/south grass runway when in fact it is a east/west paved runway.,Normal,False,160,2010,3
1174119,2014-05-01,Pa-28 Cherokee/Archer/Dakota/Pillan/Warrior,Fbo,Cruise,3000.0,Unknown,999,unknown,Unknown,atc issue all types; conflict airborne conflict; deviation - altitude excursion from assigned altitude; deviation - track / heading all types,Ambiguous,air traffic control issued advisory / alert; flight crew became reoriented; flight crew took evasive action,us,zzz.artcc,flight crew last 90 days 200; flight crew total 1100; flight crew type 800,environment - non weather related; procedure,a pa-28 instructor pilot took the aircraft from his student and executed a climbing; turning avoidance maneuver from traffic which atc pointed out late as it turned toward them.,Normal,False,1100,2014,5
1200748,2014-08-01,Gulfstream Iii (G1159A),Corporate,Final Approach,0.0,Vmc,unknown,unknown,Unknown,inflight event / encounter wake vortex encounter,Procedure,flight crew executed go around / missed approach,mo,stl.airport,flight crew last 90 days 102; flight crew total 5652; flight crew type 100,environment - non weather related; procedure,gulfstream iii corporate pilot reports several wake vortex encounters in trail of a b737 on approach to stl that led to a go-around decision.,Normal,False,5652,2014,8
700279,2006-06-01,Gulfstream V / G500 / G550,Corporate,Initial Climb,4000.0,Vmc,unknown,unknown,Unknown,deviation - speed all types; deviation / discrepancy - procedural far,Human Factors,none reported,ca,nct.tracon,flight crew last 90 days 50; flight crew total 7000; flight crew type 15,chart or publication; human factors,gv flt crew exceeds 200 kts below the floor of the sfo class b airspace while flying the loupe dep from sjc.,Normal,False,7000,2006,6
